27.05.2019 11:15:28:267;Ax=4,87930081173745;Ay=4,9933473567913;Az=0,0532727675993332;rx=87,3981784372116;ry=87,408040272262;rz=88,0925834817312;Vx=4,87930081173745;Vy=4,9933473567913;Vz=0,0532727675993332;cx=-0,203063942062698;cy=-0,0064398485847903;latitude=39,9226435651858;longitude=131,368466416541;
27.05.2019 11:17:14:444;Ax=4,65953401297309;Ay=4,60511628170736;Az=-0,00547291722869137;rx=88,7247026100404;ry=86,9528167282477;rz=87,1741570419046;Vx=4509,76523405838;Vy=4511,22202827815;Vz=5,01554318925622;cx=-0,0786085987131173;cy=-0,173788731928816;latitude=59,0452946468986;longitude=112,245305720222;
27.05.2019 11:17:14:554;Ax=4,83790190929449;Ay=4,78313886503835;Az=0,00609008816820111;rx=87,1201667853725;ry=89,2804744754827;rz=88,3833459068012;Vx=4514,60313596767;Vy=4516,00516714319;Vz=5,02163327742442;cx=-0,0693411053481228;cy=-0,102420080663833;latitude=59,0856036034698;longitude=112,204984245516;
27.05.2019 11:17:14:679;Ax=4,91949087913124;Ay=4,54586960307596;Az=0,121403980241811;rx=88,9930377360401;ry=86,0905217042149;rz=87,3826831795194;Vx=4519,5226268468;Vy=4520,55103674627;Vz=5,14303725766623;cx=-0,0498083753161183;cy=-0,142847650285276;latitude=59,1259564840666;longitude=112,164622182687;
27.05.2019 11:17:14:788;Ax=4,63971574867131;Ay=4,77449024039064;Az=-0,215271682927977;rx=87,8500259287423;ry=88,7866578308338;rz=89,250808001147;Vx=4524,16234259548;Vy=4525,32552698666;Vz=4,92776557473826;cx=-0,14454543651992;cy=-0,0778811140581439;latitude=59,166350790697;longitude=112,124217490482;
27.05.2019 11:17:14:897;Ax=4,8353571632576;Ay=4,65968226602286;Az=-0,0339900524280923;rx=87,2368185323369;ry=86,1140631971015;rz=88,715888209043;Vx=4528,99769975873;Vy=4529,98520925268;Vz=4,89377552231016;cx=-0,20333215227739;cy=-0,0548567202663364;latitude=59,2067882701591;longitude=112,083771193971;
27.05.2019 11:17:15:24;Ax=4,611160198744;Ay=4,92848188706137;Az=-0,0261573960427928;rx=88,1821653338532;ry=86,074232112418;rz=85,6790868861969;Vx=4533,60885995748;Vy=4534,91369113974;Vz=4,86761812626737;cx=-0,215805512487798;cy=-0,213459030021198;latitude=59,2472669206944;longitude=112,043280893157;
27.05.2019 11:17:15:133;Ax=4,69802890214977;Ay=4,59879310387131;Az=0,139011633996391;rx=89,6816951125775;ry=85,8626625267149;rz=87,8386218989448;Vx=4538,30688885963;Vy=4539,51248424361;Vz=5,00662976026376;cx=-0,0701577827777555;cy=-0,0223438531380822;latitude=59,2877875179164;longitude=112,002749531691;
27.05.2019 11:17:15:243;Ax=4,71580156018762;Ay=4,56196630562747;Az=-0,0314154586668201;rx=88,9824045647319;ry=86,8616021882564;rz=86,0778020969954;Vx=4543,02269041981;Vy=4544,07445054924;Vz=4,97521430159694;cx=-0,113121623470505;cy=-0,0354845408748261;latitude=59,3283502205094;longitude=111,962177438382;
27.05.2019 11:17:15:352;Ax=4,60435094619372;Ay=4,92915923051963;Az=0,094661368450458;rx=87,8433340812769;ry=86,439256378654;rz=86,8763593607006;Vx=4547,62704136601;Vy=4549,00360977976;Vz=5,0698756700474;cx=-0,133123240518906;cy=-0,197023514843089;latitude=59,3689540333788;longitude=111,921561334724;
27.05.2019 11:17:15:461;Ax=4,99771883035904;Ay=4,99330780305588;Az=0,0269551052604591;rx=86,7341847206625;ry=89,8680997439046;rz=86,3216671598245;Vx=4552,62476019637;Vy=4553,99691758282;Vz=5,09683077530786;cx=-0,171559255906175;cy=-0,171082257407754;latitude=59,4096024687377;longitude=111,880900647959;
27.05.2019 11:17:15:571;Ax=4,75405804591908;Ay=4,50908171711912;Az=-0,186914910067299;rx=87,897519895992;ry=85,7497032951795;rz=87,4273961570241;Vx=4557,37881824229;Vy=4558,50599929994;Vz=4,90991586524056;cx=-0,0960142403938917;cy=-0,191020371481322;latitude=59,4502933510434;longitude=111,840199701537;
27.05.2019 11:17:15:680;Ax=4,81558844997342;Ay=4,76566295454542;Az=0,227178276738701;rx=85,5563664464542;ry=86,7486273370444;rz=86,9509523897203;Vx=4562,19440669226;Vy=4563,27166225448;Vz=5,13709414197926;cx=-0,122936829679155;cy=-0,203868015414976;latitude=59,4910272296746;longitude=111,799456204553;
27.05.2019 11:17:15:805;Ax=4,67986327255138;Ay=4,80269713923461;Az=-0,0563325757655928;rx=86,7117990377414;ry=87,0771345701428;rz=87,8405556689671;Vx=4566,87426996481;Vy=4568,07435939372;Vz=5,08076156621367;cx=-0,0354218489538951;cy=-0,20470496206763;latitude=59,5318028927993;longitude=111,758669826344;
27.05.2019 11:17:15:914;Ax=4,89462252724665;Ay=4,82684166698104;Az=0,216913959927351;rx=85,922892299212;ry=89,8460259516006;rz=87,3626596237824;Vx=4571,76889249206;Vy=4572,9012010607;Vz=5,29767552614102;cx=-0,015748840333309;cy=-0,168972655906792;latitude=59,5726222579108;longitude=111,717840351334;
27.05.2019 11:17:16:25;Ax=4,94320909653008;Ay=4,59876733557264;Az=-0,117124205393309;rx=86,7798667341843;ry=85,5100362876011;rz=89,8400476345979;Vx=4576,71210158859;Vy=4577,49996839627;Vz=5,18055132074771;cx=-0,047969705633804;cy=-0,0494118820640281;latitude=59,6134857588178;longitude=111,676969815902;
27.05.2019 11:17:16:135;Ax=4,64252420917271;Ay=4,76915108285339;Az=0,194782003501794;rx=88,5482897877452;ry=87,0817548700523;rz=87,2811687431676;Vx=4581,35462579776;Vy=4582,26911947913;Vz=5,3753333242495;cx=-0,0344548816953107;cy=-0,0735741458244519;latitude=59,6543907108339;longitude=111,636056698764;
27.05.2019 11:17:16:244;Ax=4,76650075789844;Ay=4,72999513951596;Az=0,207268363077784;rx=87,1438254907931;ry=89,0786603417148;rz=89,8570158441351;Vx=4586,12112655566;Vy=4586,99911461864;Vz=5,58260168732729;cx=-0,0249389859148934;cy=-0,0027016627847658;latitude=59,6953382208924;longitude=111,595101349526;
27.05.2019 11:17:16:369;Ax=4,58779693701668;Ay=4,51798500563855;Az=0,121768572308016;rx=87,3081282923501;ry=87,725170517678;rz=87,6568228929102;Vx=4590,70892349268;Vy=4591,51709962428;Vz=5,7043702596353;cx=-0,18332166906135;cy=-0,176118178701081;latitude=59,7363266934236;longitude=111,554105661137;
27.05.2019 11:17:16:478;Ax=4,80066037750834;Ay=4,85267306764269;Az=-0,186946158035168;rx=85,8597213168907;ry=85,7550702382601;rz=86,2613966722327;Vx=4595,50958387018;Vy=4596,36977269192;Vz=5,51742410160014;cx=-0,204369829795034;cy=-0,13606390908177;latitude=59,7773580289939;longitude=111,513066645309;
27.05.2019 11:17:16:588;Ax=4,90929648508751;Ay=4,80347160659892;Az=0,242120128354114;rx=89,1547748244623;ry=88,3375176374509;rz=86,2432732331768;Vx=4600,41888035527;Vy=4601,17324429852;Vz=5,75954422995425;cx=-0,058792705570248;cy=-0,136478299897384;latitude=59,8184331975685;longitude=111,471984741342;
27.05.2019 11:17:16:713;Ax=4,9034080707484;Ay=4,63041206175946;Az=0,0304872753473404;rx=87,776069695957;ry=87,7472443560824;rz=88,0411977025406;Vx=4605,32228842602;Vy=4605,80365636028;Vz=5,79003150530159;cx=-0,122905672992538;cy=-0,0184066987682172;latitude=59,8595521465723;longitude=111,430861494411;
27.05.2019 11:17:16:822;Ax=4,6541873042724;Ay=4,63887948968396;Az=-0,195589522107313;rx=89,8481712368541;ry=86,4941304838257;rz=87,2324775949737;Vx=4609,97647573029;Vy=4610,44253584996;Vz=5,59444198319428;cx=-0,160670407947933;cy=-0,0437052505177888;latitude=59,9007126508199;longitude=111,389696828912;
27.05.2019 11:17:16:947;Ax=4,6765325696564;Ay=4,83615573394865;Az=-0,21196151220331;rx=88,4076972612681;ry=86,7136841654841;rz=88,9511810492031;Vx=4614,65300829995;Vy=4615,27869158391;Vz=5,38248047099097;cx=-0,0863276577374563;cy=-0,14314449255734;latitude=59,9419149098225;longitude=111,348488983451;
27.05.2019 11:17:17:59;Ax=4,68415031683825;Ay=4,75963260548172;Az=0,0233507916672862;rx=86,3474158823245;ry=89,9279346889481;rz=85,8464454572398;Vx=4619,33715861679;Vy=4620,0383241894;Vz=5,40583126265825;cx=-0,144577544657317;cy=-0,222655040001335;latitude=59,9831589915959;longitude=111,307238641271;
27.05.2019 11:17:17:168;Ax=4,64863546246134;Ay=4,6750536831911;Az=0,0474950728460657;rx=86,5514619618428;ry=89,6324374147842;rz=88,5574969228159;Vx=4623,98579407925;Vy=4624,71337787259;Vz=5,45332633550432;cx=-0,0634803965052058;cy=-0,216762715248279;latitude=60,024444579043;longitude=111,26594655754;
27.05.2019 11:17:17:277;Ax=4,62579678540388;Ay=4,60395761700531;Az=0,13578173093767;rx=89,0051548311045;ry=85,7717023711985;rz=86,0644321672453;Vx=4628,61159086465;Vy=4629,31733548959;Vz=5,58910806644199;cx=-0,185770433273063;cy=-0,127440461459308;latitude=60,0657714682472;longitude=111,224613367045;
27.05.2019 11:17:17:381;Ax=4,66051695759432;Ay=4,58924290728254;Az=-0,0204464780494789;rx=89,8121160319131;ry=85,9009268430066;rz=85,9164486273268;Vx=4633,27210782225;Vy=4633,90657839687;Vz=5,56866158839251;cx=-0,197162508171594;cy=-0,216025420623374;latitude=60,1071399692099;longitude=111,183239201166;
27.05.2019 11:17:17:486;Ax=4,82225130117603;Ay=4,59858614769698;Az=-0,18125368395413;rx=89,9105509067469;ry=85,5810405775351;rz=86,6944706578248;Vx=4638,09435912342;Vy=4638,50516454457;Vz=5,38740790443838;cx=-0,0148034332156186;cy=-0,172937985939413;latitude=60,1485515259878;longitude=111,141823976483;
27.05.2019 11:17:17:588;Ax=4,96016292225577;Ay=4,54919945567343;Az=0,0844946749669013;rx=89,4186473351059;ry=89,0550219393592;rz=85,7351298791986;Vx=4643,05452204568;Vy=4643,05436400024;Vz=5,47190257940528;cx=-0,0253271212569999;cy=-0,0734351897954184;latitude=60,1900073699346;longitude=111,100368133947;
27.05.2019 11:17:17:698;Ax=4,97722328173799;Ay=4,51973341057065;Az=-0,0527193119296427;rx=85,7780656124363;ry=89,9791454707641;rz=89,2682920141464;Vx=4648,03174532742;Vy=4647,57409741081;Vz=5,41918326747564;cx=-0,156729611117264;cy=-0,170353965785054;latitude=60,231507653375;longitude=111,058871936649;
27.05.2019 11:17:17:823;Ax=4,67245579053296;Ay=4,55655181713242;Az=0,183640362663958;rx=89,1247485234052;ry=88,2804637596851;rz=87,2963330749405;Vx=4652,70420111795;Vy=4652,13064922795;Vz=5,6028236301396;cx=-0,0177013821516638;cy=-0,178936473258744;latitude=60,2730496551707;longitude=111,017335055852;
27.05.2019 11:17:17:932;Ax=4,61319259023908;Ay=4,77755156312024;Az=0,0445778056953934;rx=88,7451620855113;ry=87,9387800784031;rz=88,819841163149;Vx=4657,31739370819;Vy=4656,90820079107;Vz=5,64740143583499;cx=-0,220814744125036;cy=-0,00311497945949668;latitude=60,314632846186;longitude=110,975755518345;
27.05.2019 11:17:18:43;Ax=4,63685413526225;Ay=4,77008836635858;Az=0,179298725644731;rx=89,8289072701376;ry=87,5539800925432;rz=86,8659439994329;Vx=4661,95424784345;Vy=4661,67828915743;Vz=5,82670016147972;cx=-0,0801915584272663;cy=-0,164523863042483;latitude=60,3562574376846;longitude=110,934133390763;
27.05.2019 11:17:18:153;Ax=4,64552539896477;Ay=4,892742832607;Az=-0,248099278192082;rx=85,7233261478708;ry=88,6409224346936;rz=85,7786842241318;Vx=4666,59977324241;Vy=4666,57103199003;Vz=5,57860088328764;cx=-0,214982694161584;cy=-0,043401515178104;latitude=60,3979235070885;longitude=110,892467577977;
27.05.2019 11:17:18:262;Ax=4,94687417240202;Ay=4,9473106844571;Az=0,0676054213278023;rx=89,5720742233433;ry=87,2917073938491;rz=86,0791828122824;Vx=4671,54664741482;Vy=4671,51834267449;Vz=5,64620630461544;cx=-0,0869611739236689;cy=-0,107743338731929;latitude=60,4396337450119;longitude=110,850757592775;
27.05.2019 11:17:18:370;Ax=4,58853586045491;Ay=4,73213128220855;Az=0,0722126692171265;rx=86,557057871277;ry=87,58392962794;rz=86,2482954893486;Vx=4676,13518327527;Vy=4676,2504739567;Vz=5,71841897383257;cx=-0,195374193715573;cy=-0,176241581375358;latitude=60,4813849520054;longitude=110,8090053564;
27.05.2019 11:17:18:475;Ax=4,51043284195961;Ay=4,70420286464701;Az=0,144042043897343;rx=87,5483501735368;ry=89,9046034833438;rz=87,036500507517;Vx=4680,64561611723;Vy=4680,95467682135;Vz=5,86246101772991;cx=-0,0480529704122148;cy=-0,215692094231812;latitude=60,5231764307207;longitude=110,767211118215;
27.05.2019 11:17:18:592;Ax=4,73475528030412;Ay=4,79924894720281;Az=0,00722443696913544;rx=89,2457782662221;ry=87,2792265786693;rz=89,4226462090959;Vx=4685,38037139753;Vy=4685,75392576855;Vz=5,86968545469905;cx=-0,110982594993423;cy=-0,187997545599004;latitude=60,5650101840368;longitude=110,725374029592;
27.05.2019 11:17:18:701;Ax=4,75529088347931;Ay=4,89102561720229;Az=0,163699392654793;rx=88,4129839182892;ry=85,9613923711988;rz=86,011630894156;Vx=4690,13566228101;Vy=4690,64495138575;Vz=6,03338484735384;cx=-0,0927003491519471;cy=-0,19237477974611;latitude=60,6068863953072;longitude=110,683493271097;
27.05.2019 11:17:18:811;Ax=4,96333541952229;Ay=4,66872836727124;Az=0,142453836227047;rx=89,9647985526662;ry=88,4660299764788;rz=87,3391109601777;Vx=4695,09899770054;Vy=4695,31367975302;Vz=6,17583868358089;cx=-0,0437203444394854;cy=-0,196928344933283;latitude=60,6488069220723;longitude=110,641570827528;
27.05.2019 11:17:18:936;Ax=4,8269077075305;Ay=4,89354868041982;Az=-0,235618825529524;rx=86,8030966528706;ry=86,7323058290557;rz=88,1519959432315;Vx=4699,92590540807;Vy=4700,20722843344;Vz=5,94021985805136;cx=-0,0386316893452943;cy=-0,100731647794937;latitude=60,6907705462278;longitude=110,59960469156;
27.05.2019 11:17:19:47;Ax=4,55409506315091;Ay=4,79692118628738;Az=-0,0323025888215298;rx=89,0984668690239;ry=88,2641628795602;rz=89,0149982553045;Vx=4704,48000047122;Vy=4705,00414961973;Vz=5,90791726922983;cx=-0,196704667665394;cy=-0,156291173250082;latitude=60,7327748319463;longitude=110,557595725938;
27.05.2019 11:17:19:172;Ax=4,97875927108282;Ay=4,73998499277047;Az=0,112159991107024;rx=88,5646990731194;ry=87,0250009554555;rz=87,6795322073994;Vx=4709,4587597423;Vy=4709,7441346125;Vz=6,02007726033686;cx=-0,199311199935295;cy=-0,0208867658259777;latitude=60,7748235708725;longitude=110,515544439022;
27.05.2019 11:17:19:279;Ax=4,91020364054023;Ay=4,82154155444426;Az=0,014259044204028;rx=88,3860481779026;ry=88,0044159814736;rz=89,0741420390895;Vx=4714,36896338284;Vy=4714,56567616694;Vz=6,03433630454089;cx=-0,138993593055751;cy=-0,211315671872029;latitude=60,8169161509027;longitude=110,473450102628;
27.05.2019 11:17:19:389;Ax=4,89640526817944;Ay=4,69484298126532;Az=-0,160710122394706;rx=88,2372884548908;ry=89,2932156388616;rz=86,477251447261;Vx=4719,26536865102;Vy=4719,26051914821;Vz=5,87362618214618;cx=-0,0246128370517908;cy=-0,0177188995958844;latitude=60,8590524488371;longitude=110,431313847992;
27.05.2019 11:17:19:498;Ax=4,97687381574739;Ay=4,63754749886577;Az=0,0195698166590041;rx=87,7891016946123;ry=88,5523541935498;rz=89,0475261479372;Vx=4724,24224246677;Vy=4723,89806664707;Vz=5,89319599880518;cx=-0,105582923724121;cy=-0,192248973980199;latitude=60,9012331831449;longitude=110,389136186683;
27.05.2019 11:17:19:608;Ax=4,60584985097211;Ay=4,73976755456057;Az=-0,232670543008796;rx=86,3061650415445;ry=88,5796710402144;rz=86,0608940380909;Vx=4728,84809231774;Vy=4728,63783420164;Vz=5,66052545579639;cx=-0,0481783927060562;cy=-0,18686814198125;latitude=60,943455041112;longitude=110,34691620602;
27.05.2019 11:17:19:717;Ax=4,83646245805382;Ay=4,56079620963931;Az=-0,0154151235546056;rx=88,3384318390574;ry=85,7736645453952;rz=86,3413180351915;Vx=4733,68455477579;Vy=4733,19863041127;Vz=5,64511033224178;cx=-0,000952446868616619;cy=-0,154364323536569;latitude=60,9857200817796;longitude=110,304655503963;
27.05.2019 11:17:19:826;Ax=4,60579583752239;Ay=4,68728779311631;Az=0,753424383934319;rx=86,5105760481723;ry=88,2113893568569;rz=87,8286181918013;Vx=4738,29035061332;Vy=4737,88591820439;Vz=6,3985347161761;cx=-0,120951955193163;cy=-0,0584209003757792;latitude=61,0280262456244;longitude=110,262352951122;
27.05.2019 11:17:19:936;Ax=4,7946801862189;Ay=4,90153532354233;Az=1,81364830348811;rx=85,7870734656635;ry=89,7534038574683;rz=88,2246743066817;Vx=4743,08503079953;Vy=4742,78745352793;Vz=8,21218301966421;cx=-0,173504475503464;cy=-0,217784669153758;latitude=61,0703752191137;longitude=110,220006634573;
27.05.2019 11:17:20:46;Ax=4,55617027383119;Ay=4,69147898638224;Az=-0,0351778312051563;rx=85,8465079904285;ry=88,9181769261687;rz=86,4139630973404;Vx=4747,64120107337;Vy=4747,47893251432;Vz=8,17700518845905;cx=-0,140299223882749;cy=-0,0746623312237986;latitude=61,1127648726947;longitude=110,177618429818;
27.05.2019 11:17:20:156;Ax=4,80190607616767;Ay=4,5045524153414;Az=-0,0823192963992803;rx=88,7460497521078;ry=88,8659875592524;rz=86,6693114199067;Vx=4752,44310714953;Vy=4751,98348492966;Vz=8,09468589205977;cx=-0,0314021268656504;cy=-0,0524726846732548;latitude=61,1551974004371;longitude=110,135190005846;
27.05.2019 11:17:20:265;Ax=4,63966404746271;Ay=4,61260164674027;Az=0,198548795212315;rx=86,866764055503;ry=89,0167066925283;rz=86,8777654773452;Vx=4757,082771197;Vy=4756,5960865764;Vz=8,29323468727209;cx=-0,10281844182304;cy=-0,06879847665261;latitude=61,1976713537513;longitude=110,09272039793;
27.05.2019 11:17:20:375;Ax=4,50854967721205;Ay=4,64715368004849;Az=0,544893707286051;rx=89,4658531283335;ry=87,2880593066979;rz=88,7493586802154;Vx=4761,59132087421;Vy=4761,24324025645;Vz=8,83812839455814;cx=-0,174538334854667;cy=-0,209825609209865;latitude=61,2401855619734;longitude=110,05020929757;
27.05.2019 11:17:20:484;Ax=4,94636171075812;Ay=4,71855080789819;Az=1,20921104161963;rx=88,5503536679551;ry=88,9079185160379;rz=89,6344430721991;Vx=4766,53768258497;Vy=4765,96179106434;Vz=10,0473394361778;cx=-0,100273169845003;cy=-0,223090027981947;latitude=61,2827439341394;longitude=110,007656067293;
27.05.2019 11:17:20:609;Ax=4,99906384618909;Ay=4,66934067554276;Az=0,560380151407039;rx=88,1704176187843;ry=88,1194918593948;rz=88,8349111440288;Vx=4771,53674643116;Vy=4770,63113173989;Vz=10,6077195875848;cx=-0,0017202783383965;cy=-0,150859487196833;latitude=61,3253469408039;longitude=109,965061146474;
27.05.2019 11:17:20:718;Ax=4,97131782768821;Ay=4,98025426942867;Az=0,542233004277681;rx=88,7399890368059;ry=86,8877351497708;rz=89,6631464344278;Vx=4776,50806425884;Vy=4775,61138600932;Vz=11,1499525918625;cx=-0,16862000378017;cy=-0,0436116506432285;latitude=61,3679943342348;longitude=109,922421759099;
27.05.2019 11:17:20:828;Ax=4,91996441265567;Ay=4,86770767246732;Az=0,17995121061334;rx=87,5937938057323;ry=88,2599197317659;rz=87,7281623940115;Vx=4781,4280286715;Vy=4780,47909368178;Vz=11,3299038024758;cx=-0,164065296558697;cy=-0,0266101997353232;latitude=61,4106856559194;longitude=109,879738910048;
27.05.2019 11:17:20:937;Ax=4,89241538168509;Ay=4,9339598351782;Az=0,564310483920533;rx=86,8990302881687;ry=88,83641204533;rz=86,3216037947319;Vx=4786,32044405319;Vy=4785,41305351696;Vz=11,8942142863964;cx=-0,222868610475153;cy=-0,143873332251736;latitude=61,4534206598841;longitude=109,837012007784;
27.05.2019 11:17:21:48;Ax=4,8354309130625;Ay=4,64430441294997;Az=0,30279882664457;rx=87,4926406126435;ry=88,5843441146819;rz=89,7732135447549;Vx=4791,15587496625;Vy=4790,05735792991;Vz=12,1970131130409;cx=-0,19977306962236;cy=-0,16289820245602;latitude=61,4961988373392;longitude=109,794243638517;
27.05.2019 11:17:21:173;Ax=4,65097652080049;Ay=4,6301370121679;Az=0,6193325199044;rx=87,4657708818399;ry=89,7192616417162;rz=87,7692442661008;Vx=4795,80685148705;Vy=4794,68749494208;Vz=12,8163456329453;cx=-0,0542123666984082;cy=-0,00729455188023564;latitude=61,5390185413703;longitude=109,751433928741;
27.05.2019 11:17:21:282;Ax=4,59326192740969;Ay=4,8561258208268;Az=0,568963772672678;rx=85,5985494638321;ry=89,364882176679;rz=85,9007427973676;Vx=4800,40011341446;Vy=4799,54362076291;Vz=13,385309405618;cx=-0,136086014570246;cy=-0,111829388915481;latitude=61,5818792566687;longitude=109,708580860698;
27.05.2019 11:17:21:407;Ax=4,53393022345096;Ay=4,86951392859664;Az=0,55429768706872;rx=88,713853342791;ry=89,606116788744;rz=88,5665641450633;Vx=4804,93404363791;Vy=4804,4131346915;Vz=13,9396070926867;cx=-0,0926800894633359;cy=-0,053987167276901;latitude=61,6247804534869;longitude=109,665684314853;
27.05.2019 11:17:21:517;Ax=4,97551784826234;Ay=4,71195152039265;Az=0,174567868804824;rx=85,5889954332211;ry=88,2879569946266;rz=89,134959311753;Vx=4809,90956148617;Vy=4809,1250862119;Vz=14,1141749614916;cx=-0,197828856377321;cy=-0,0246766915426946;latitude=61,6677260745716;longitude=109,622745698012;
27.05.2019 11:17:21:626;Ax=4,81164782718366;Ay=4,89194721607116;Az=0,131667235391991;rx=87,0886866222549;ry=88,0041697148719;rz=89,2529231869862;Vx=4814,72120931335;Vy=4814,01703342797;Vz=14,2458421968835;cx=-0,0125732818211262;cy=-0,16187529154675;latitude=61,7107146567976;longitude=109,57976340307;
27.05.2019 11:17:21:751;Ax=4,55443176117466;Ay=4,93052059920995;Az=-0,787814117613162;rx=85,6312796578888;ry=87,0509298406778;rz=89,9440783266649;Vx=4819,27564107453;Vy=4818,94755402718;Vz=13,4580280792704;cx=-0,112117441085687;cy=-0,0940932289902534;latitude=61,7537439035929;longitude=109,536737085624;
27.05.2019 11:17:21:860;Ax=4,94671777866162;Ay=4,90130857979008;Az=-0,162525710935017;rx=89,7587187573121;ry=86,1345343611364;rz=87,2906852647619;Vx=4824,22235885319;Vy=4823,84886260697;Vz=13,2955023683354;cx=-0,143204041893227;cy=-0,0853887728929479;latitude=61,7968173175112;longitude=109,493667006493;
27.05.2019 11:17:21:985;Ax=4,83609276653086;Ay=4,58930400274196;Az=0,692901138608764;rx=87,8116979581824;ry=87,5481334468574;rz=88,8267572328107;Vx=4829,05845161972;Vy=4828,43816660971;Vz=13,9884035069441;cx=-0,146692401611567;cy=-0,13978009825329;latitude=61,8399339108292;longitude=109,450555951434;
27.05.2019 11:17:22:96;Ax=4,79574550166528;Ay=4,97380086498978;Az=-0,250697886757878;rx=85,8373572320386;ry=89,6657376788397;rz=85,6895930863403;Vx=4833,85419712139;Vy=4833,4119674747;Vz=13,7377056201863;cx=-0,0120378746590788;cy=-0,172377558796377;latitude=61,8830933233035;longitude=109,407400487439;
27.05.2019 11:17:22:206;Ax=4,89745455486581;Ay=4,76402055717261;Az=-0,147336945308995;rx=85,7314313958545;ry=88,0068912035818;rz=88,0151185528446;Vx=4838,75165167625;Vy=4838,17598803187;Vz=13,5903686748773;cx=-0,131533659310797;cy=-0,00822088461519144;latitude=61,9262964630506;longitude=109,364202487546;
27.05.2019 11:17:22:331;Ax=4,96110138947195;Ay=4,73366393322761;Az=-0,386829397192611;rx=89,1761797765159;ry=87,4476907101682;rz=86,2847041151415;Vx=4843,71275306572;Vy=4842,9096519651;Vz=13,2035392776846;cx=-0,0564034095995112;cy=-0,174292741005445;latitude=61,9695438983459;longitude=109,320962222796;
27.05.2019 11:17:22:440;Ax=4,71017842027833;Ay=4,77142006404298;Az=-0,109572030724759;rx=87,2004336901942;ry=87,0668129395073;rz=87,436836405395;Vx=4848,422931486;Vy=4847,68107202914;Vz=13,0939672469599;cx=-0,0392819638896142;cy=-0,141843569111941;latitude=62,0128333888056;longitude=109,277679356082;
27.05.2019 11:17:22:549;Ax=4,75650371390232;Ay=4,87280832294971;Az=-0,231158873010966;rx=87,2867220557699;ry=88,1503593074858;rz=87,4202939462477;Vx=4853,17943519991;Vy=4852,55388035209;Vz=12,8628083739489;cx=-0,0773801129322393;cy=-0,0334566539192878;latitude=62,0561653480484;longitude=109,23435298215;
27.05.2019 11:17:22:659;Ax=4,92805941236581;Ay=4,57053553083471;Az=-0,374263581831131;rx=88,2583493465829;ry=89,0667177725428;rz=86,904487766281;Vx=4858,10749461227;Vy=4857,12441588293;Vz=12,4885447921178;cx=-0,210733333072035;cy=-0,199514182703346;latitude=62,0995413078218;longitude=109,190985799865;
27.05.2019 11:17:22:768;Ax=4,88160102343261;Ay=4,76116977108697;Az=-0,154246060785021;rx=89,9451580478089;ry=88,2582218075442;rz=87,8899721912527;Vx=4862,9890956357;Vy=4861,88558565401;Vz=12,3342987313328;cx=-0,0121646337616994;cy=-0,131149730007699;latitude=62,1429608533185;longitude=109,147576107136;
27.05.2019 11:17:22:893;Ax=4,59914177521092;Ay=4,58661931547644;Az=-0,122694283385154;rx=87,2229571024529;ry=87,1257413628631;rz=88,0588088166243;Vx=4867,58823741091;Vy=4866,47220496949;Vz=12,2116044479476;cx=-0,0257182057717458;cy=-0,142987270580136;latitude=62,1864214625811;longitude=109,104125462449;
27.05.2019 11:17:23:4;Ax=4,85131381026065;Ay=4,61787098605087;Az=-0,180789114362928;rx=89,1516162970344;ry=86,0455484099433;rz=85,5826047580143;Vx=4872,43955122118;Vy=4871,09007595554;Vz=12,0308153335847;cx=-0,140738849989482;cy=-0,113519072050003;latitude=62,2299253871456;longitude=109,060633586771;
27.05.2019 11:17:23:113;Ax=4,9056197397437;Ay=4,63751872262802;Az=0,0304050072470705;rx=86,8128709326558;ry=85,6030763516217;rz=86,1135824614268;Vx=4877,34517096092;Vy=4875,72759467817;Vz=12,0612203408318;cx=-0,127628629632589;cy=-0,2006440991888;latitude=62,2734731118863;longitude=109,017100304675;
27.05.2019 11:17:23:223;Ax=4,73971635975862;Ay=4,78379281972712;Az=-0,142663946744364;rx=89,2162849997246;ry=89,2750509524602;rz=89,2692026743988;Vx=4882,08488732068;Vy=4880,51138749789;Vz=11,9185563940874;cx=-0,0547546594891486;cy=-0,0040719383065948;latitude=62,3170631555231;longitude=108,973524310144;
27.05.2019 11:17:23:332;Ax=4,89984084242016;Ay=4,51028497145059;Az=-0,350617102347602;rx=87,3707854681978;ry=88,9745424967141;rz=86,7294406389023;Vx=4886,9847281631;Vy=4885,02167246934;Vz=11,5679392917398;cx=-0,114743722062435;cy=-0,160313705266596;latitude=62,3606969477388;longitude=108,929908045211;
27.05.2019 11:17:23:457;Ax=4,62768709921636;Ay=4,89348590834694;Az=0,00516945047079087;rx=88,005878898085;ry=88,9815897955473;rz=86,6337170415249;Vx=4891,61241526231;Vy=4889,91515837769;Vz=11,5731087422106;cx=-0,00179160320050897;cy=-0,0574097773560354;latitude=62,4043720585894;longitude=108,88624808844;
27.05.2019 11:17:23:566;Ax=4,5739227710636;Ay=4,54801854377055;Az=-0,361713289987162;rx=87,020553303892;ry=88,0663271260291;rz=88,4438363921101;Vx=4896,18633803338;Vy=4894,46317692146;Vz=11,2113954522234;cx=-0,136303547588788;cy=-0,211065324226425;latitude=62,4480880080361;longitude=108,842547524361;
